scenario,method,n_train,eta,delta,lambda,true_value,true_regret,q05_value,cvar10_value,emp_nominal_value,emp_robust_value,emp_true_value,gamma_u,match_rate,selected_u_raw,hotspot_treat1_rate,lcb,coverage,gap,epsilon,kl_to_prior,rep_seed,replication
S0,pac_robust_gibbs,200,3.0,0.2,nan,0.5341337081835423,4.6803623629187996e-05,0.2714506599437498,0.26294450015120224,0.6510010135505047,0.6510010135505047,0.6510010135505047,0.0,0.599158348541536,0.0,0.23151791884594958,-0.11314264275178787,1.0,0.6472763509353302,0.5,2.633658978253674,383329927,0
S0,pac_robust_gibbs,200,3.0,0.1,nan,0.5341337081835423,4.6803623629187996e-05,0.2714506599437498,0.26294450015120224,0.6510010135505047,0.6510010135505047,0.6510010135505047,0.0,0.599158348541536,0.0,0.23151791884594958,-0.11545313335365437,1.0,0.6495868415371967,0.5,2.633658978253674,383329927,0
S0,pac_robust_gibbs,200,3.0,0.05,nan,0.5341337081835423,4.6803623629187996e-05,0.2714506599437498,0.26294450015120224,0.6510010135505047,0.6510010135505047,0.6510010135505047,0.0,0.599158348541536,0.0,0.23151791884594958,-0.11776362395552087,1.0,0.6518973321390632,0.5,2.633658978253674,383329927,0
S0,owl_standard,200,nan,nan,0.001,0.5425934938623302,0.0,0.26598136518520427,0.2546904577695327,0.6872300881326345,0.6872300881326345,0.6872300881326345,0.0,0.635,0.0,0.119,nan,nan,nan,0.5,,3324115916,1
S0,owl_clipped,200,nan,nan,0.001,0.5425934938623302,0.0,0.26598136518520427,0.2546904577695327,0.6872300881326345,0.6872300881326345,0.6872300881326345,0.0,0.635,0.0,0.119,nan,nan,nan,0.5,,3324115916,1
S0,owl_robust_map,200,nan,nan,0.1,0.5423261195054322,0.00026737435689805356,0.26550877753432983,0.2537387523218612,0.6863472362218752,0.6863472362218752,0.6863472362218752,0.0,0.63,0.0,0.1161,nan,nan,nan,0.5,,3324115916,1
S0,oracle_true_owl,200,nan,nan,0.001,0.5425934938623302,0.0,0.26598136518520427,0.2546904577695327,0.6872300881326345,0.6872300881326345,0.6872300881326345,0.0,0.635,0.0,0.119,nan,nan,nan,0.5,,3324115916,1
S0,pac_nominal_gibbs,200,0.3,nan,nan,0.5386211653941281,0.003972328468202169,0.28975910446268444,0.2773470145761563,0.6711805273096998,0.6711805273096998,0.6711805273096998,0.0,0.6209299022850464,0.0,0.13114116432824074,nan,nan,nan,0.5,1.2172523573071385,3324115916,1
S0,pac_robust_gibbs,200,0.3,0.2,nan,0.5386211653941281,0.003972328468202169,0.28975910446268444,0.2773470145761563,0.6711805273096998,0.6711805273096998,0.6711805273096998,0.0,0.6209299022850464,0.0,0.13114116432824074,0.5019575183183251,1.0,0.03666364707580294,0.5,1.2172523573071385,3324115916,1
S0,pac_robust_gibbs,200,0.3,0.1,nan,0.5386211653941281,0.003972328468202169,0.28975910446268444,0.2773470145761563,0.6711805273096998,0.6711805273096998,0.6711805273096998,0.0,0.6209299022850464,0.0,0.13114116432824074,0.4788526122996603,1.0,0.05976855309446777,0.5,1.2172523573071385,3324115916,1
