scenario,n_train,eta,delta,n_rep,coverage_mean,coverage_std,emp_robust_value_mean,emp_robust_value_std,gap_mean,gap_std,lcb_mean,lcb_std,true_value_mean,true_value_std
S4,200,1.0,0.1,50,1.0,0.0,0.6419201102363417,0.05770598490386771,0.6073921316572997,0.04376324732534622,-0.08225210879474121,0.050059496657664904,0.5251400228625586,0.015789390118429943
S4,200,1.0,0.05,50,1.0,0.0,0.6419201102363417,0.05770598490386771,0.6247208111712983,0.04376324732534624,-0.09958078830873983,0.050059496657664924,0.5251400228625586,0.015789390118429943
S4,200,3.0,0.2,50,1.0,0.0,0.6674889354609803,0.05492537880327194,1.7768176419585324,0.04770184802534836,-1.2478168018569529,0.05407647186776367,0.5290008401015796,0.018337590244394877
S4,200,3.0,0.1,50,1.0,0.0,0.6674889354609803,0.05492537880327194,1.7825938684631983,0.04770184802534838,-1.2535930283616192,0.05407647186776369,0.5290008401015796,0.018337590244394877
S4,200,3.0,0.05,50,1.0,0.0,0.6674889354609803,0.05492537880327194,1.788370094967865,0.04770184802534834,-1.2593692548662851,0.05407647186776366,0.5290008401015796,0.018337590244394877
S4,500,0.3,0.2,50,1.0,0.0,0.5697444273580888,0.03534399764616164,0.22652895443211038,0.023641809375739634,0.30510901092914133,0.03027168605420855,0.5316379653612517,0.011886344795409454
S4,500,0.3,0.1,50,1.0,0.0,0.5697444273580888,0.03534399764616164,0.2496338604507752,0.02364180937573963,0.2820041049104765,0.03027168605420855,0.5316379653612517,0.011886344795409454
S4,500,0.3,0.05,50,1.0,0.0,0.5697444273580888,0.03534399764616164,0.27273876646944006,0.02364180937573963,0.2588991988918117,0.030271686054208546,0.5316379653612517,0.011886344795409454
S4,500,1.0,0.2,50,1.0,0.0,0.610406195234808,0.03791555790003176,0.6075983375852121,0.02998781640167771,-0.058891828150486755,0.035679661499283914,0.5487065094347254,0.01778347448624943
S4,500,1.0,0.1,50,1.0,0.0,0.610406195234808,0.03791555790003176,0.6145298093908116,0.029987816401677705,-0.06582329995608621,0.03567966149928391,0.5487065094347254,0.01778347448624943
S4,500,1.0,0.05,50,1.0,0.0,0.610406195234808,0.03791555790003176,0.621461281196411,0.029987816401677712,-0.07275477176168565,0.03567966149928391,0.5487065094347254,0.01778347448624943
S4,500,3.0,0.2,50,1.0,0.0,0.6159911718758478,0.03583968947566109,1.828457808361064,0.031441329932081895,-1.27651189693546,0.03600320555151213,0.5519459114256039,0.019756763599557265
S4,500,3.0,0.1,50,1.0,0.0,0.6159911718758478,0.03583968947566109,1.8307682989629308,0.031441329932081895,-1.2788223875373266,0.03600320555151214,0.5519459114256039,0.019756763599557265
S4,500,3.0,0.05,50,1.0,0.0,0.6159911718758478,0.03583968947566109,1.8330787895647966,0.031441329932081916,-1.281132878139193,0.03600320555151216,0.5519459114256039,0.019756763599557265
S4,1000,0.3,0.2,50,1.0,0.0,0.5770030057482232,0.04327790212292329,0.219958540295708,0.025022558177198728,0.3334115871901564,0.035655885982421656,0.5533701274858643,0.015233273312597417
S4,1000,0.3,0.1,50,1.0,0.0,0.5770030057482232,0.04327790212292329,0.23151099330504046,0.02502255817719872,0.3218591341808239,0.035655885982421656,0.5533701274858643,0.015233273312597417
S4,1000,0.3,0.05,50,1.0,0.0,0.5770030057482232,0.04327790212292329,0.24306344631437288,0.02502255817719872,0.31030668117149146,0.035655885982421656,0.5533701274858643,0.015233273312597417
S4,1000,1.0,0.2,50,1.0,0.0,0.5978109314390337,0.04012107688065827,0.6239103469831323,0.033001395652401094,-0.05336903238970031,0.03954140400080002,0.570541314593432,0.014144297320966321
S4,1000,1.0,0.1,50,1.0,0.0,0.5978109314390337,0.04012107688065827,0.627376082885932,0.03300139565240111,-0.05683476829250003,0.039541404000800036,0.570541314593432,0.014144297320966321
S4,1000,1.0,0.05,50,1.0,0.0,0.5978109314390337,0.04012107688065827,0.6308418187887318,0.033001395652401094,-0.060300504195299746,0.03954140400080002,0.570541314593432,0.014144297320966321
S4,1000,3.0,0.2,50,1.0,0.0,0.5985864436794606,0.039808650791381996,1.8575062951234091,0.033605138648809284,-1.2855143776922098,0.03975882000149889,0.5719919174311997,0.013541798860273747
S4,1000,3.0,0.1,50,1.0,0.0,0.5985864436794606,0.039808650791381996,1.8586615404243425,0.03360513864880932,-1.2866696229931427,0.039758820001498905,0.5719919174311997,0.013541798860273747
S4,1000,3.0,0.05,50,1.0,0.0,0.5985864436794606,0.039808650791381996,1.8598167857252759,0.033605138648809305,-1.2878248682940763,0.03975882000149893,0.5719919174311997,0.013541798860273747
S5,200,0.3,0.2,50,1.0,0.0,0.5762477365758715,0.06825895065144012,1.221858914064634,0.06040269971944045,-0.7211950167912584,0.0654897787425534,0.5006638972733758,0.009004946856797105
S5,200,0.3,0.1,50,1.0,0.0,0.5762477365758715,0.06825895065144012,1.4529079742512827,0.06040269971944042,-0.9522440769779068,0.06548977874255338,0.5006638972733758,0.009004946856797105
S5,200,0.3,0.05,50,1.0,0.0,0.5762477365758715,0.06825895065144012,1.683957034437931,0.06040269971944048,-1.1832931371645552,0.06548977874255342,0.5006638972733758,0.009004946856797105
S5,200,1.0,0.2,50,1.0,0.0,0.6044665776296216,0.07558427945635385,2.579089020033813,0.06394158769796253,-2.0773297576745415,0.07014814449172846,0.5017592623592713,0.010590691482272919
S5,200,1.0,0.1,50,1.0,0.0,0.6044665776296216,0.07558427945635385,2.6484037380898076,0.06394158769796256,-2.146644475730536,0.0701481444917285,0.5017592623592713,0.010590691482272919
S5,200,1.0,0.05,50,1.0,0.0,0.6044665776296216,0.07558427945635385,2.717718456145802,0.06394158769796247,-2.21595919378653,0.07014814449172839,0.5017592623592713,0.010590691482272919
S5,200,3.0,0.2,50,1.0,0.0,0.65588059317684,0.08371120202090772,7.43991909481481,0.06914405677981347,-6.9372232730838945,0.07708017596228751,0.5026958217309163,0.014048041370603394
S5,200,3.0,0.1,50,1.0,0.0,0.65588059317684,0.08371120202090772,7.463024000833476,0.0691440567798134,-6.960328179102558,0.07708017596228747,0.5026958217309163,0.014048041370603394
S5,200,3.0,0.05,50,1.0,0.0,0.65588059317684,0.08371120202090772,7.486128906852142,0.0691440567798134,-6.983433085121225,0.07708017596228747,0.5026958217309163,0.014048041370603394
