scenario,method,n_train,eta,delta,n_rep,coverage_mean,coverage_std,cvar10_value_mean,cvar10_value_std,emp_nominal_value_mean,emp_nominal_value_std,emp_robust_value_mean,emp_robust_value_std,emp_true_value_mean,emp_true_value_std,epsilon_mean,epsilon_std,gamma_u_mean,gamma_u_std,gap_mean,gap_std,hotspot_treat1_rate_mean,hotspot_treat1_rate_std,kl_to_prior_mean,kl_to_prior_std,lcb_mean,lcb_std,q05_value_mean,q05_value_std,selected_u_raw_mean,selected_u_raw_std,true_regret_mean,true_regret_std,true_value_mean,true_value_std
S2,owl_standard,200,nan,nan,25,nan,nan,0.2754260538692672,0.03269810309190252,0.82505250668824,0.0486809846631828,0.6475582441799719,0.04848949149275615,0.6487448001660002,0.04852788093592094,0.20000000000000004,2.832791573980247e-17,0.1774942625082681,0.025766925013091777,nan,nan,0.32720800000000005,0.053693145667456164,nan,nan,nan,nan,0.2917125094353747,0.03883548382062415,0.30973267501535756,0.04342572938161254,0.017644993567141297,0.007647937805852338,0.5150003934882396,0.015655638476676795
S2,owl_clipped,200,nan,nan,25,nan,nan,0.2764167441515079,0.03159744440100048,0.8307536000610029,0.05951364179779068,0.6528541852855002,0.05922705727956101,0.6540892727040643,0.05916479708982714,0.20000000000000004,2.832791573980247e-17,0.1778994147755024,0.024680266182989546,nan,nan,0.32613600000000004,0.05504809927084979,nan,nan,nan,nan,0.2927114041598938,0.0376685590453335,0.3095113401646584,0.04079309938753539,0.01728906347224265,0.006989453602910097,0.5153563235831382,0.015422384578467336
S2,owl_robust_map,200,nan,nan,25,nan,nan,0.2640068986277504,0.028182094156672416,0.8031371220534451,0.06682506795203424,0.6680778114299656,0.05950238616370674,0.6688036504476407,0.05963645070333354,0.20000000000000004,2.832791573980247e-17,0.1350593106234797,0.02387579984379494,nan,nan,0.212912,0.04884282035263729,nan,nan,nan,nan,0.2760667803468769,0.031341251418110866,0.24680075904179066,0.03853830269554933,-0.001050312998611096,0.005354904788929663,0.5336957000539919,0.014205742018438182
S2,oracle_true_owl,200,nan,nan,25,nan,nan,0.2637206365232274,0.030556137119862985,0.804331555606539,0.06295853629658985,0.6665315039839638,0.057156249239566616,0.6673228805959708,0.05716244503082909,0.20000000000000004,2.832791573980247e-17,0.13780005162257525,0.024341862679630732,nan,nan,0.216006,0.05405372774687545,nan,nan,nan,nan,0.27608676429057405,0.03363267778242543,0.25265283739429534,0.041201890513819985,0.0,0.0,0.5326453870553808,0.015398727637210959
S2,pac_nominal_gibbs,200,0.3,nan,25,nan,nan,0.33102143523541294,0.025785028159449733,0.7700130188756721,0.05367958594074756,0.6153445005200859,0.05197736445563311,0.6163465466426579,0.05197865095827377,0.20000000000000004,2.832791573980247e-17,0.15466851835558626,0.02019050076136953,nan,nan,0.28295231056809445,0.03640907368893357,0.40657834934047604,0.09598133415197314,nan,nan,0.3442023087513632,0.027898888071998754,0.2803295629304559,0.03397813095200988,0.017841551684016636,0.00731636633726292,0.5148038353713642,0.011645702471966394
S2,pac_robust_gibbs,200,0.3,0.2,25,1.0,0.0,0.33445612861295004,0.0243321201923195,0.7569744454993654,0.05414781139507457,0.6098287611180525,0.05242487454546099,0.6107579356148052,0.05242970818386305,0.20000000000000004,2.832791573980247e-17,0.14714568438131284,0.01846430374135369,0.25237313917203763,0.041042958858358264,0.26739447997850485,0.03289765538173837,0.29590861123124207,0.07565442789577341,0.2635498841459407,0.047719310794937665,0.3471328106977845,0.025666704444802735,0.27012523915889197,0.03102725778798602,0.01672236373740245,0.007497407341322608,0.5159230233179785,0.011044830312054449
S2,pac_robust_gibbs,200,0.3,0.1,25,1.0,0.0,0.33445612861295004,0.0243321201923195,0.7569744454993654,0.05414781139507457,0.6098287611180525,0.05242487454546099,0.6107579356148052,0.05242970818386305,0.20000000000000004,2.832791573980247e-17,0.14714568438131284,0.01846430374135369,0.31013540421869984,0.04104295885835826,0.26739447997850485,0.03289765538173837,0.29590861123124207,0.07565442789577341,0.20578761909927856,0.04771931079493765,0.3471328106977845,0.025666704444802735,0.27012523915889197,0.03102725778798602,0.01672236373740245,0.007497407341322608,0.5159230233179785,0.011044830312054449
S2,pac_robust_gibbs,200,0.3,0.05,25,1.0,0.0,0.33445612861295004,0.0243321201923195,0.7569744454993654,0.05414781139507457,0.6098287611180525,0.05242487454546099,0.6107579356148052,0.05242970818386305,0.20000000000000004,2.832791573980247e-17,0.14714568438131284,0.01846430374135369,0.3678976692653619,0.041042958858358264,0.26739447997850485,0.03289765538173837,0.29590861123124207,0.07565442789577341,0.1480253540526165,0.04771931079493766,0.3471328106977845,0.025666704444802735,0.27012523915889197,0.03102725778798602,0.01672236373740245,0.007497407341322608,0.5159230233179785,0.011044830312054449
S2,pac_nominal_gibbs,200,1.0,nan,25,nan,nan,0.29820484859750457,0.03233025606837262,0.823400964657557,0.05794052018870093,0.6537297476040501,0.057631485222714635,0.6548586905871422,0.057586811222202536,0.20000000000000004,2.832791573980247e-17,0.16967121705350682,0.024640935888824846,nan,nan,0.30418617814276566,0.052723799472605276,1.5675984465028137,0.2826866599218204,nan,nan,0.3139393709579975,0.036827546300911174,0.2967591997452482,0.041674578155718046,0.015314099439337448,0.007196457459477531,0.5173312876160433,0.015196116954017853
S2,pac_robust_gibbs,200,1.0,0.2,25,1.0,0.0,0.303970316961614,0.030528758269021856,0.8088646789166307,0.06041088360828308,0.6547992611330433,0.05749294579951704,0.6557627515329782,0.057511556413498824,0.20000000000000004,2.832791573980247e-17,0.1540654177835874,0.023192502939723126,0.5662268385645126,0.046756913937191905,0.2660736661202213,0.04793686495316948,1.3275541607660026,0.22597575762127076,-0.04362554069695919,0.05364994554992731,0.3186968945353039,0.033839095527527376,0.2746327583494759,0.03772694537875593,0.010044089187827478,0.006360946629328455,0.5226012978675533,0.014514907174675531
